plate0-A1,plate0-B1,6
plate0-A1,plate0-C1,0
plate0-A1,plate0-D1,0
plate0-A1,plate0-E1,8
plate0-A1,plate0-F1,6
plate0-A1,plate0-G1,6
plate0-A1,plate0-H1,8
plate0-A1,plate1-A1,16
plate0-A1,plate1-E2,10
plate0-A1,plate2-A1,0
plate0-B1,plate0-C1,0
plate0-B1,plate0-D1,0
plate0-B1,plate0-E1,1
plate0-B1,plate0-F1,3
plate0-B1,plate0-G1,2
plate0-B1,plate0-H1,3
plate0-B1,plate1-A1,6
plate0-B1,plate1-E2,5
plate0-B1,plate2-A1,0
plate0-C1,plate0-D1,0
plate0-C1,plate0-E1,0
plate0-C1,plate0-F1,0
plate0-C1,plate0-G1,0
plate0-C1,plate0-H1,0
plate0-C1,plate1-A1,0
plate0-C1,plate1-E2,0
plate0-C1,plate2-A1,0
plate0-D1,plate0-E1,0
plate0-D1,plate0-F1,0
plate0-D1,plate0-G1,0
plate0-D1,plate0-H1,0
plate0-D1,plate1-A1,0
plate0-D1,plate1-E2,0
plate0-D1,plate2-A1,0
plate0-E1,plate0-F1,2
plate0-E1,plate0-G1,4
plate0-E1,plate0-H1,4
plate0-E1,plate1-A1,5
plate0-E1,plate1-E2,6
plate0-E1,plate2-A1,0
plate0-F1,plate0-G1,2
plate0-F1,plate0-H1,2
plate0-F1,plate1-A1,11
plate0-F1,plate1-E2,4
plate0-F1,plate2-A1,0
plate0-G1,plate0-H1,4
plate0-G1,plate1-A1,9
plate0-G1,plate1-E2,6
plate0-G1,plate2-A1,0
plate0-H1,plate1-A1,13
plate0-H1,plate1-E2,2
plate0-H1,plate2-A1,0
plate1-A1,plate1-E2,8
plate1-A1,plate2-A1,0
plate1-E2,plate2-A1,0
plate0-A2,plate0-B2,0
plate0-A2,plate0-C2,0
plate0-A2,plate0-D2,0
plate0-A2,plate0-E2,0
plate0-A2,plate0-F2,4
plate0-A2,plate0-G2,1
plate0-A2,plate0-H2,0
plate0-A2,plate1-B1,1
plate0-A2,plate1-F2,5
plate0-A2,plate2-B1,0
plate0-B2,plate0-C2,0
plate0-B2,plate0-D2,0
plate0-B2,plate0-E2,0
